2 : [ 5 133 ]  accuracy : 0.9288025889967637, recall : 0.9288025889967637, precision : 0.9338716603303275, f1 : 0.8945179296713798, roc_auc : 0.7522964840038011
2 : [ 21 581 ]  accuracy : 0.9112903225806451, recall : 0.9112903225806451, precision : 0.9191597294484911, f1 : 0.868994147270995, roc_auc : 0.752212389380531
2 : [ 20 376 ]  accuracy : 0.9424920127795527, recall : 0.9424920127795527, precision : 0.9457991813736998, f1 : 0.9145892887170002, roc_auc : 0.752165725047081
2 : [ 10 491 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.7521233092167349
2 : [ 4 133 ]  accuracy : 0.9288025889967637, recall : 0.9288025889967637, precision : 0.9338716603303275, f1 : 0.8945179296713798, roc_auc : 0.7519797275894837
2 : [ 22 166 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7518771331058021
2 : [ 9 416 ]  accuracy : 0.9391025641025641, recall : 0.9391025641025641, precision : 0.9428110618014464, f1 : 0.9096100868828142, roc_auc : 0.7517513921322077
2 : [ 20 436 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7515358361774744
2 : [ 6 406 ]  accuracy : 0.9288025889967637, recall : 0.9288025889967637, precision : 0.9338716603303275, f1 : 0.8945179296713798, roc_auc : 0.7510294583465315
2 : [ 20 30 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.751023890784983
2 : [ 4 406 ]  accuracy : 0.9288025889967637, recall : 0.9288025889967637, precision : 0.9338716603303275, f1 : 0.8945179296713798, roc_auc : 0.7507127019322142
2 : [ 20 433 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7506825938566554
2 : [ 22 24 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7505119453924916
2 : [ 9 143 ]  accuracy : 0.9391025641025641, recall : 0.9391025641025641, precision : 0.9428110618014464, f1 : 0.9096100868828142, roc_auc : 0.7504939823962637
2 : [ 20 294 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7501706484641638
2 : [ 16 41 ]  accuracy : 0.9383116883116883, recall : 0.9383116883116883, precision : 0.9421171361106425, f1 : 0.9084491722682678, roc_auc : 0.750136587142597
2 : [ 4 129 ]  accuracy : 0.9158576051779935, recall : 0.9158576051779935, precision : 0.9229375477843761, f1 : 0.8756341292749059, roc_auc : 0.7500679532481652
2 : [ 13 41 ]  accuracy : 0.9383116883116883, recall : 0.9383116883116883, precision : 0.9421171361106425, f1 : 0.9084491722682678, roc_auc : 0.7497723547623384
2 : [ 5 406 ]  accuracy : 0.9288025889967637, recall : 0.9288025889967637, precision : 0.9338716603303275, f1 : 0.8945179296713798, roc_auc : 0.749762432689262
2 : [ 20 159 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7496587030716724
2 : [ 13 178 ]  accuracy : 0.9383116883116883, recall : 0.9383116883116883, precision : 0.9421171361106425, f1 : 0.9084491722682678, roc_auc : 0.749043890001821
