3 : [ 0 1 89 ]  accuracy : 0.946843853820598, recall : 0.946843853820598, precision : 0.9496694296972439, f1 : 0.9209914619074074, roc_auc : 0.6989035087719299
3 : [ 0 1 90 ]  accuracy : 0.946843853820598, recall : 0.946843853820598, precision : 0.9496694296972439, f1 : 0.9209914619074074, roc_auc : 0.7074561403508771
3 : [ 0 1 91 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.6173307074685654
3 : [ 0 1 92 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.5983013526266122
3 : [ 0 1 93 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.5983013526266122
3 : [ 0 1 94 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.6173307074685654
3 : [ 0 1 95 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.6173307074685654
3 : [ 0 1 96 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.6173307074685654
3 : [ 0 1 97 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.6173307074685654
3 : [ 0 1 98 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.6173307074685654
3 : [ 0 1 99 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.6173307074685654
3 : [ 0 1 100 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.6173307074685654
3 : [ 0 1 101 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.6173307074685654
3 : [ 0 1 102 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.6173307074685654
3 : [ 0 1 103 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.5983013526266122
3 : [ 0 1 104 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.5983013526266122
3 : [ 0 1 105 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.6173307074685654
3 : [ 0 1 106 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.6173307074685654
3 : [ 0 1 107 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.6173307074685654
3 : [ 0 1 108 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.6173307074685654
